#EN 	 EN-RSL-FW 	 DATA 	 ERR-S 	 ERR-SYS 	 ERR-1 	 ERR-2 	 ERR-3 	 ERR-4 	 ERR-5
2082  	 70  	 61.55  	 0.8  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2136  	 69  	 66.51  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2174  	 68  	 71.6  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2212  	 68  	 98.83  	 1.1  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2264  	 67  	 114.6  	 0.9  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2313  	 66  	 87.55  	 0.8  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2354  	 66  	 88.78  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2397  	 65  	 91.33  	 0.9  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
2964  	 58  	 29.91  	 1  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3078  	 56  	 61.33  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3202  	 55  	 78.08  	 0.8  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3272  	 54  	 157.45  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3300  	 54  	 161.8  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3306  	 54  	 149.96  	 1  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3344  	 54  	 144.47  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
3383  	 53  	 127.08  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4651  	 43  	 34.38  	 1.1  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4704  	 43  	 44.33  	 1.1  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4802  	 42  	 47.83  	 1.2  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4875  	 42  	 38.81  	 0.9  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4922  	 42  	 66.92  	 0.9  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4944  	 41  	 96.35  	 0.8  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
4987  	 41  	 168.51  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5050  	 41  	 84.54  	 0.8  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5111  	 40  	 115.2  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5171  	 40  	 142.06  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5175  	 40  	 131.01  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5254  	 40  	 130.05  	 0.6  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5334  	 39  	 94.17  	 0.8  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5400  	 39  	 79.57  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5450  	 39  	 89.82  	 0.9  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5500  	 38  	 107.14  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5589  	 38  	 54.98  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5739  	 37  	 72.71  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5879  	 37  	 90.26  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5927  	 37  	 150.83  	 0.9  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
5989  	 36  	 199.32  	 0.4  	 6.8  	 4  	 4  	 2  	 2.50  	 2 
6117  	 36  	 88.51  	 0.7  	 6.8  	 4  	 4  	 2  	 2.50  	 2 

