#Incident energy 	 
#Incident energy 	 
#Incident energy 	 σ(E)
#1E-05	0
780000	0
793100	4.048E-06
854610	1.2622E-05
916120	3.6546E-05
940730	5.4674E-05
965330	8.0622E-05
989940	0.00011704
1002200	0.00014027
1014500	0.00016797
1026800	0.00020316
1039100	0.00026593
1040400	0.00027787
1041600	0.00029265
1042800	0.00031158
1044100	0.00033691
1045300	0.00037262
1046500	0.00042627
1047800	0.00051374
1049000	0.00067273
1050200	0.00101
1051500	0.0019124
1052100	0.0029993
1052700	0.005162
1052800	0.0057815
1052900	0.0064598
1053100	0.007178
1053200	0.0079021
1053300	0.0085795
1053400	0.0091426
1053500	0.0095212
1053700	0.0096602
1053800	0.0095385
1053900	0.0091765
1054200	0.0079639
1054400	0.0065407
1054700	0.0052532
1054900	0.0042153
1055100	0.0034174
1055400	0.0028124
1055600	0.0023528
1055900	0.0020003
1056100	0.0017265
1056400	0.0015109
1056600	0.0013389
1056900	0.0012
1057100	0.0010864
1057400	0.00099249
1057600	0.00091417
1058800	0.00066727
1060100	0.00054464
1061300	0.00047617
1062500	0.00043491
1063800	0.00040877
1066200	0.0003804
1068700	0.00036819
1071100	0.00036388
1073600	0.00036392
1076100	0.00036657
1082200	0.00037939
1088400	0.00039672
1094500	0.00041622
1100700	0.00043693
1106800	0.00045832
1113000	0.00048006
1119100	0.00050195
1125300	0.00052381
1131400	0.0005455
1137600	0.0005669
1143700	0.00058791
1149900	0.00060846
1156000	0.00062847
1162200	0.00064788
1168300	0.00066665
1174500	0.00068476
1176900	0.00069181
1179400	0.00069879
1181900	0.00070561
1184300	0.00071228
1186800	0.00071893
1189200	0.00072542
1191700	0.00073183
1194200	0.00073808
1196600	0.00074425
1199100	0.00075033
1201500	0.00075625
1204000	0.00076209
1206500	0.00076785
1208900	0.00077352
1211400	0.00077905
1217500	0.00079248
1223700	0.00080542
1229800	0.00081774
1236000	0.00082957
1248300	0.00085195
1260600	0.00087293
1272900	0.00089287
1285200	0.00091244
1297500	0.00093271
1309800	0.00095805
1322100	0.0010279
1328300	0.0013242
1329500	0.0016071
1330700	0.0024177
1331300	0.0035546
1331900	0.0067313
