#Incident energy 	 
#Incident energy 	 
#Incident energy 	 Computed function
#1E-05	0
1000	1E-20
100000	1E-20
200000	1.09685E-16
500000	1.17976E-08
1000000	9.155859E-05
2000000	0.021723
3000000	0.08620129
4000000	0.126355
5000000	0.142488
5012570	0.1421433
5117840	0.1415614
6000000	0.2536366
6147360	0.254839
6408600	0.2753584
7000000	0.3532617
8000000	0.371862
8703870	0.3571952
9000000	0.3631316
9636470	0.3520083
9975850	0.3541804
10000000	0.3564537
10644800	0.3727047
11000000	0.4090278
11430800	0.3881698
11591700	0.3828731
12000000	0.4025786
13000000	0.3867192
14000000	0.3450303
15000000	0.301112
16000000	0.2525172
17000000	0.2139731
18000000	0.1822346
19000000	0.157696
20000000	0.1379683
22000000	0.1042671
24000000	0.0756257
26000000	0.05233541
28000000	0.0354476
30000000	0.01605080139776
35000000	0.008001710871955
40000000	0.004742199921544
45000000	0.00193287002415
50000000	0.001230420001863
55000000	0.000972672008976
60000000	0.00100871998518
65000000	0.000663402133815
70000000	0.000402426045637
75000000	0.000250828982338
80000000	0.000183974025008
90000000	0.000130318002675
100000000	8.4199816328E-05
110000000	5.205450190885E-05
120000000	3.1764499320446E-05
130000000	1.7457399552E-05
140000000	1.481550008064E-05
150000000	1.1132898525241E-05
160000000	9.89833928868E-06
180000000	3.207759885661E-06
200000000	2.4338304171248E-06

