#EN          DATA        MISC        
#MEV         MB          MEV         
15.24       0.5772e-01  16.92       
15.26       0.7534      16.94       
15.32       1.835       16.99       
15.46       1.972       17.10       
15.52       2.108       17.15       
15.60       2.514       17.21       
15.64       4.407       17.24       
15.71       6.435       17.30       
15.78       6.300       17.35       
15.82       5.085       17.39       
15.89       5.491       17.44       
15.96       4.952       17.50       
16.02       6.709       17.55       
16.08       8.331       17.59       
16.11       9.143       17.62       
16.21       10.63       17.70       
16.22       9.955       17.71       
16.30       10.36       17.77       
16.36       10.90       17.82       
16.46       9.958       17.90       
16.48       9.282       17.91       
16.55       10.63       17.97       
16.61       9.554       18.02       
16.69       9.285       18.08       
16.75       9.962       18.13       
16.80       10.91       18.17       
16.86       11.99       18.22       
16.91       12.26       18.26       
16.98       11.99       18.31       
17.06       10.37       18.38       
17.11       11.18       18.42       
17.17       11.18       18.47       
17.27       10.51       18.55       
17.31       10.10       18.58       
17.39       9.835       18.64       
17.45       10.24       18.69       
17.50       12.13       18.73       
17.56       14.97       18.78       
17.65       14.57       18.85       
17.70       13.35       18.89       
17.76       14.30       18.94       
17.84       13.89       19.00       
17.86       14.57       19.02       
17.92       14.44       19.07       
18.01       12.41       19.14       
18.06       12.01       19.18       
18.12       13.90       19.23       
18.23       14.03       19.31       
18.29       16.47       19.36       
18.34       18.36       19.40       
18.38       19.04       19.43       
18.45       18.63       19.49       
18.51       18.09       19.54       
18.59       17.42       19.60       
18.60       18.50       19.61       
18.70       17.42       19.69       
18.74       18.91       19.72       
18.81       22.83       19.78       
18.83       25.93       19.79       
18.91       27.02       19.86       
19.01       27.15       19.94       
19.05       23.91       19.97       
19.13       22.83       20.03       
19.17       23.51       20.07       
19.24       20.94       20.12       
19.30       19.72       20.17       
19.35       21.21       20.21       
19.44       22.56       20.28       
19.46       23.92       20.30       
19.54       21.21       20.36       
19.60       20.13       20.41       
19.66       19.86       20.46       
19.74       20.68       20.52       
19.80       21.76       20.57       
19.88       21.35       20.63       
19.94       21.62       20.68       
20.01       21.35       20.74       
20.05       19.06       20.77       
20.10       21.36       20.81       
20.19       19.74       20.88       
20.21       22.30       20.90       
20.30       22.44       20.97       
20.38       22.71       21.03       
20.39       23.12       21.04       
20.49       23.39       21.12       
20.52       24.88       21.15       
20.58       25.55       21.19       
20.64       25.42       21.24       
20.71       24.74       21.30       
20.78       26.50       21.35       
20.84       26.77       21.40       
20.91       27.45       21.46       
20.95       28.26       21.49       
21.02       29.07       21.55       
21.06       30.29       21.58       
21.16       28.94       21.66       
21.22       33.26       21.71       
21.27       32.32       21.75       
21.34       32.99       21.80       
21.41       32.32       21.86       
21.45       34.48       21.89       
21.53       33.94       21.95       
21.59       35.43       22.00       
21.64       38.81       22.04       
21.67       39.62       22.07       
21.75       40.16       22.13       
21.79       42.32       22.16       
21.88       41.24       22.23       
21.95       43.00       22.29       
22.01       38.81       22.34       
22.09       37.33       22.40       
22.15       34.36       22.45       
22.23       37.19       22.51       
22.26       39.49       22.54       
22.31       41.65       22.58       
22.40       40.71       22.65       
22.43       40.57       22.67       
22.54       39.90       22.76       
22.56       41.25       22.78       
22.65       35.98       22.85       
22.70       35.58       22.89       
22.74       33.96       22.92       
22.84       34.36       23.00       
22.88       36.66       23.03       
22.95       35.99       23.09       
23.01       35.31       23.14       
23.09       33.69       23.20       
23.12       34.37       23.23       
23.20       36.53       23.29       
23.26       35.99       23.34       
23.32       35.45       23.39       
23.35       36.80       23.41       
23.44       37.48       23.48       
23.49       41.80       23.52       
23.58       37.21       23.59       
23.60       38.29       23.61       
23.69       43.97       23.68       
23.76       41.94       23.74       
23.85       38.03       23.81       
23.94       38.70       23.88       
24.01       39.11       23.94       
24.08       40.87       23.99       
24.15       42.35       24.05       
24.21       40.19       24.10       
24.26       39.11       24.14       
24.30       40.06       24.17       
24.38       38.17       24.23       
24.46       36.82       24.30       
24.49       38.71       24.32       
24.55       38.04       24.37       
24.62       37.77       24.43       
24.69       35.74       24.48       
24.77       35.47       24.55       
24.85       34.26       24.61       
24.90       34.53       24.65       
24.96       33.72       24.70       
25.01       33.85       24.74       
25.08       32.91       24.79       
25.16       32.37       24.86       
25.19       35.07       24.88       
25.24       35.61       24.92       
25.30       39.53       24.97       
25.41       38.45       25.06       
25.44       39.94       25.08       
25.48       41.16       25.11       
25.55       40.89       25.17       
25.61       39.40       25.22       
25.69       38.46       25.28       
25.75       34.94       25.33       
25.80       38.19       25.37       
25.86       39.54       25.42       
25.94       34.95       25.48       
26.02       35.22       25.55       
26.08       34.14       25.59       
26.10       28.87       25.61       
26.19       30.22       25.68       
26.25       26.03       25.73       
26.30       25.22       25.77       
26.39       29.14       25.84       
26.49       28.20       25.92       
26.53       31.17       25.95       
26.60       26.85       26.01       
