#EN          EN-ERR      DATA        DATA-ERR    
#MEV         MEV         MB          MB          
49.6        0.5         8.          5.          
44.5        0.6         10.         6.          
39.3        0.7         12.         4.          
37.8        0.8         12.         4.          
36.4        0.9         15.         4.          
34.9        1.0         16.         5.          
32.7        1.1         16.         3.          
31.0        1.2         17.         3.          
29.5        1.3         24.         5.          
27.5        0.7         33.         6.          
24.5        0.8         53.         9.          
22.2        0.9         94.         16.         
19.2        1.0         180.        31.         
16.3        1.0         312.        53.         
13.1        1.1         293.        50.         
11.8        1.2         280.        45.         
8.8         1.3         196.        34.         
6.6         1.4         105.        28.         
4.0         1.5         26.         5.          
1.5         1.6         1.3         0.9    
