#EN          EN-ERR      DATA        ERR-T       
#MEV         MEV         MB          MB  
8.91        0.49        3.82        0.31        
10.26       0.38        133.55      10.68       
12.33       0.42        204.36      16.35       
13.53       0.42        237.98      19.04       
15.52       0.34        235.26      18.82       
16.39       0.37        190.64      15.25       
17.81       0.28        149.41      11.95       
18.90       0.28        106.42      8.51        
20.08       0.30        76.19       6.10        
21.05       0.32        61.72       4.90        
22.11       0.28        49.02       3.92        
23.18       0.38        40.20       3.20        
23.91       0.32        40.73       3.36        
25.32       0.34        23.67       1.89        
25.70       0.22        22.59       1.81        
27.30       0.26        19.28       1.54        
28.87       0.25        16.24       1.30        
30.39       0.23        15.66       1.25   
