#EN          EN-ERR      EN-RSL      DATA        -ERR-T      +ERR-T      -ERR-2      +ERR-2      
#MEV         MEV         MEV         MB          MB          MB          MB          MB          
5.267       0.003       0.005       224.1       20.2        17.4        15.1        11.1        
5.288       0.003       0.005       247.8       23.         28.         17.6        23.7        
5.309       0.003       0.005       585.9       66.         55.8        55.9        43.3        
5.33        0.003       0.005       190.3       18.1        14.9        14.1        9.6         
5.351       0.003       0.005       229.9       25.9        24.2        21.9        19.9        
5.899       0.003       0.005       260.3       16.8        16.8        6.3         6.3         
5.905       0.003       0.005       205.7       14.3        14.3        7.3         7.3         
5.909       0.003       0.005       219.5       17.1        17.4        11.         11.3        
5.912       0.003       0.005       234.2       15.8        15.6        7.2         6.7         
5.915       0.003       0.005       230.7       16.5        16.3        9.          8.6         
5.918       0.003       0.005       230.        16.4        16.2        8.8         8.5         
5.921       0.003       0.005       244.7       16.2        16.2        6.9         6.9         
6.057       0.003       0.005       267.        18.3        18.6        8.8         9.4         
6.061       0.003       0.005       243.6       17.3        16.7        9.2         8.2         
6.066       0.003       0.005       239.6       16.5        16.5        8.          8.          
6.068       0.003       0.005       253.3       16.4        16.4        6.3         6.3         
6.074       0.003       0.005       288.1       20.2        19.6        10.4        9.2         
6.078       0.003       0.005       258.6       17.8        17.2        8.8         7.5         
6.082       0.003       0.005       299.1       21.9        21.5        12.6        11.8        
6.089       0.003       0.005       341.        22.5        22.5        9.3         9.3         
6.5         0.003       0.005       269.6       18.3        18.3        8.5         8.5         
6.508       0.003       0.005       194.2       13.         13.         5.7         5.7         
6.516       0.003       0.005       303.2       22.6        22.6        13.5        13.5        
6.525       0.003       0.005       213.7       14.9        14.9        7.7         7.7         
6.533       0.003       0.005       380.        28.3        28.4        16.8        16.9        
6.542       0.003       0.005       246.6       18.1        17.9        10.4        10.1        
6.554       0.003       0.005       284.9       23.5        28.7        16.1        23.1        
6.567       0.003       0.005       270.1       19.8        21.7        11.3        14.5        
