#N          DATA        ERR-S       
#MEV         MB          MB          
2.2841      7.5086e-03  4.6102e-03  
2.2872      3.4569e-03  4.1899e-03  
2.2904      6.0403e-05  3.8389e-03  
2.2935      8.1446e-03  3.7168e-03  
2.2967      4.4838e-03  3.3917e-03  
2.2998      1.4222e-03  3.1323e-03  
2.3103      9.8985e-04  2.6971e-03  
2.3209      4.0905e-03  2.5428e-03  
2.3314      4.7517e-04  2.3979e-03  
2.3420      7.0044e-04  2.3071e-03  
2.3489      9.8614e-04  2.2766e-03  
2.3521      2.2932e-03  2.2977e-03  
2.3553      6.6755e-03  2.3901e-03  
2.3585      2.8240e-03  2.3538e-03  
2.3601      7.1071e-03  2.4596e-03  
2.3617      2.9094e-04  2.3845e-03  
2.3633      2.0478e-03  2.4684e-03  
2.3641      3.6363e-02  3.0159e-03  
2.3649      7.9662e-02  3.5796e-03  
2.3657      8.2884e-02  3.6270e-03  
2.3665      7.6527e-02  3.5546e-03  
2.3673      4.5832e-02  3.1647e-03  
2.3681      2.1898e-02  2.8193e-03  
2.3689      1.6548e-02  2.7178e-03  
2.3697      1.6306e-02  2.6899e-03  
2.3705      1.0903e-02  2.5855e-03  
2.3713      1.1110e-02  2.5673e-03  
2.3729      1.3475e-02  2.5759e-03  
2.3761      1.3943e-02  2.5432e-03  
2.3793      1.3280e-02  2.5169e-03  
2.3825      1.7624e-02  2.5841e-03  
2.3857      1.8822e-02  2.6023e-03  
2.3889      1.3253e-02  2.5050e-03  
2.3921      2.2562e-02  2.6467e-03  
2.3929      1.5265e-02  2.5308e-03  
2.3937      2.0389e-02  2.6111e-03  
2.3945      5.1323e-02  3.0548e-03  
2.3953      1.0962e-01  3.7501e-03  
2.3961      1.6652e-01  4.3227e-03  
2.3969      1.7660e-01  4.4152e-03  
2.3978      1.4160e-01  4.0798e-03  
2.3986      1.0009e-01  3.6416e-03  
2.3994      6.8783e-02  3.2729e-03  
2.4002      4.7878e-02  3.0013e-03  
2.4010      3.6417e-02  2.8407e-03  
2.4018      2.8255e-02  2.7206e-03  
2.4034      2.9214e-02  2.7306e-03  
2.4050      3.3961e-02  2.8025e-03  
2.4066      2.7805e-02  2.7004e-03  
2.4098      2.7734e-02  2.6851e-03  
2.4098      2.9450e-02  2.5488e-03  
2.4131      3.3657e-02  2.7516e-03  
2.4179      3.8482e-02  2.6399e-03  
2.4179      4.0185e-02  2.8097e-03  
2.4227      3.0394e-02  2.4893e-03  
2.4276      3.1434e-02  2.4755e-03  
2.4325      3.2655e-02  2.4622e-03  
2.4357      3.1464e-02  2.4154e-03  
2.4389      3.1897e-02  2.4097e-03  
2.4398      4.4564e-02  2.6136e-03  
2.4406      5.1035e-02  2.7047e-03  
2.4414      6.0815e-02  2.8425e-03  
2.4422      1.0131e-01  3.3597e-03  
2.4433      1.7460e-01  4.1417e-03  
2.4444      1.9929e-01  4.3709e-03  
2.4452      1.9533e-01  4.3318e-03  
2.4460      1.4612e-01  3.8489e-03  
2.4468      1.1095e-01  3.4629e-03  
2.4476      8.7051e-02  3.1739e-03  
2.4487      5.1626e-02  2.6906e-03  
2.4498      4.8437e-02  2.6458e-03  
2.4509      4.2704e-02  2.5598e-03  
2.4525      4.0959e-02  2.5436e-03  
2.4541      4.2376e-02  2.5923e-03  
2.4557      4.8628e-02  2.7143e-03  
2.4574      5.0670e-02  2.8236e-03  
2.4590      4.9346e-02  3.0049e-03  
2.4606      3.8265e-02  3.3956e-03  
2.4614      3.3027e-02  3.9233e-03  
2.4623      4.7506e-02  5.1234e-03  
2.4631      4.7979e-02  6.3374e-03  
2.4639      4.5576e-02  6.6122e-03  
2.4647      5.3033e-02  5.5952e-03  
2.4655      6.5108e-02  6.5068e-03  
2.4663      6.7563e-02  6.6722e-03  
2.4672      8.5088e-02  5.5181e-03  
2.4680      8.7457e-02  4.5954e-03  
2.4688      1.1650e-01  4.2975e-03  
2.4696      1.4832e-01  4.2950e-03  
2.4704      1.9597e-01  4.5675e-03  
2.4712      2.0055e-01  4.5192e-03  
2.4721      1.9297e-01  4.3905e-03  
2.4729      1.7172e-01  4.1563e-03  
2.4737      1.5150e-01  3.9314e-03  
2.4745      1.4644e-01  3.8608e-03  
2.4753      1.3202e-01  3.6943e-03  
2.4761      1.2065e-01  3.5578e-03  
2.4770      1.1894e-01  3.5293e-03  
2.4780      1.2607e-01  3.6032e-03  
2.4791      1.3429e-01  3.6869e-03  
2.4791      1.3912e-01  3.8042e-03  
2.4802      1.6321e-01  3.9875e-03  
2.4813      1.9807e-01  4.3232e-03  
2.4824      2.2342e-01  4.6264e-03  
2.4824      2.2549e-01  4.6415e-03  
2.4830      2.3336e-01  4.6334e-03  
2.4846      3.4492e-01  5.5153e-03  
2.4857      4.1601e-01  6.1038e-03  
2.4879      8.1823e-01  8.2728e-03  
2.4890      1.1437e+00  9.8723e-03  
2.4922      1.9955e+00  1.2964e-02  
2.4939      2.4104e+00  1.4233e-02  
2.4955      2.2109e+00  1.3637e-02  
2.4972      1.8254e+00  1.2408e-02  
2.4988      1.4159e+00  1.0953e-02  
2.5021      8.7292e-01  8.5002e-03  
2.5054      6.0510e-01  7.0762e-03  
2.5087      4.5764e-01  6.1542e-03  
2.5103      4.2213e-01  5.9152e-03  
2.5120      4.0509e-01  5.7890e-03  
2.5136      3.7964e-01  5.6046e-03  
2.5153      3.7058e-01  5.5376e-03  
2.5161      3.6312e-01  5.4860e-03  
2.5169      3.2844e-01  5.2151e-03  
2.5177      3.2496e-01  5.1881e-03  
2.5186      3.2942e-01  5.2220e-03  
2.5194      3.1262e-01  5.0911e-03  
2.5202      2.9746e-01  4.9665e-03  
2.5210      2.9527e-01  4.9485e-03  
2.5219      2.9285e-01  4.9288e-03  
2.5235      2.6988e-01  4.7316e-03  
2.5246      2.7993e-01  4.8205e-03  
2.5262      2.6987e-01  4.7336e-03  
2.5279      2.6676e-01  4.7078e-03  
2.5296      2.6097e-01  4.6623e-03  
2.5329      2.6507e-01  4.8136e-03  
2.5329      2.8014e-01  4.9446e-03  
2.5329      2.8729e-01  5.0034e-03  
2.5362      2.8752e-01  5.9952e-03  
2.5395      2.7665e-01  8.7350e-03  
2.5428      2.6990e-01  1.0627e-02  
2.5461      2.7588e-01  9.1610e-03  
2.5494      2.7183e-01  7.7470e-03  
2.5527      3.1638e-01  9.2780e-03  
2.5561      3.5479e-01  1.0946e-02  
2.5594      3.7048e-01  9.1513e-03  
2.5627      4.0487e-01  6.7460e-03  
2.5660      4.9880e-01  6.5193e-03  
2.5694      5.4779e-01  6.7425e-03  
2.5727      5.8431e-01  6.9604e-03  
2.5760      6.4544e-01  7.3129e-03  
2.5794      7.3856e-01  7.8221e-03  
2.5827      8.5102e-01  8.3963e-03  
2.5860      1.0393e+00  9.2784e-03  
2.5894      1.2934e+00  1.0351e-02  
2.5927      1.6570e+00  1.1717e-02  
2.5961      2.1426e+00  1.3328e-02  
2.5994      2.6100e+00  1.4714e-02  
2.6028      2.8979e+00  1.5506e-02  
2.6061      2.8340e+00  1.5333e-02  
2.6095      2.5166e+00  1.4446e-02  
2.6129      2.0389e+00  1.2998e-02  
2.6162      1.6266e+00  1.1610e-02  
2.6196      1.1925e+00  9.9391e-03  
2.6229      9.4211e-01  8.8336e-03  
2.6263      7.7912e-01  8.0335e-03  
2.6297      6.9309e-01  7.5772e-03  
2.6313      7.3802e-01  7.8198e-03  
2.6330      7.7162e-01  7.9966e-03  
2.6347      8.7640e-01  8.5232e-03  
2.6356      9.0220e-01  8.6508e-03  
2.6364      9.0017e-01  8.6390e-03  
